title,year,url,popularity,verse
Born on a Different Cloud,2006,http://www.metrolyrics.com/born-on-a-different-cloud-lyrics-oasis.html,0,"born on a different cloud
from the ones that have burst round town,
it's no suprise to me,
that you're classless, clever, and free
loaded just like a gun
you're the hero that's still unsung
living on borrowed time
you're my son and you're gonna shine
talking to myself again
this time i think i'm getting through
it's funny how you think
it's funny how, it's funny how when you do
born on a different cloud
from the ones that have burst round town
it's no suprise to me
that you're classless, clever, and free
lonely soul, busy working overtime
nothing ever gets done, especially when your hands are tied
lonely soul, breaking up your mothers pride
nothing ever gets done, not until your war's won
we're born on a different cloud
your born on a different cloud
we're born on a different cloud
we're born on a different cloud
we're born on a different cloud
we're born on a different cloud
we're born on a different cloud
we're born on a different cloud
born on a different cloud
born on a different cloud
born on a different cloud
da da da da na na na na...
(repeat to fade)"
Bring It On Down,2006,http://www.metrolyrics.com/bring-it-on-down-lyrics-oasis.html,2,"What was that sound ringing around your brain?
Today was just a blur, you've got a head like a ghost train
What was that sound ringing around your brain?
You're here on your own, who you gonna find to blame?
You're the outcast
You're the underclass
But you don't care
Because you're living fast
You're the uninvited guest who stays 'til the end
I know you've got a problem that the devil sends
You think they're talking 'bout you, but you don't know who
I'll be scraping your life from the sole of my shoe tonight
Bring it on down, bring it down for me
Your head's in a fish tank, your body and your mind can't breathe
Bring it on down, bring it down for me
Your head's in a fish tank, your body and your mind can't breathe
You're the outcast
You're the underclass
But you don't care
Because you're living fast
You're the uninvited guest who stays 'til the end
I know you've got a problem that the devil sends
You think they're talking 'bout you, but you don't know who
I'll be scraping their lives from the sole of my shoe tonight"
Can You See It Now? (I Can See It Now),2007,http://www.metrolyrics.com/can-you-see-it-now-i-can-see-it-now-lyrics-oasis.html,0,"(Instrumental)
Can you see it now?
I can see it now
Can you see it now?
I can see it now
Can you see it now?
'Cause I can see it now

Can you see it now?
'Cause I can see it now
Can you see it now?
Well I can see it now
Can you see it now?
'Cause I can see it now"
Carnation,2006,http://www.metrolyrics.com/carnation-lyrics-oasis.html,3,"If you gave me a fresh carnation
I would only crush it's tender petals
With me you'll have no escape
And at the same time there'll be nowhere to settle
I trample down all life in my wake
I eat it up and take the cake
I just avert my eyes to the pain
Of someone's loss helping my gain
If you gave me a dream for my pocket
You'd be plugging in the wrong socket
With me there's no room for the future
With me there's no room with a view at all
I am out of season all year around
Hear machinery roar to my empty sound
Touch my heart and feel winter
Hold my hand and be doomed forever
If you gave me a fresh carnation
I would only crush it's tender petals
With me you'll have no escape
And at the same time there'll be nowhere to settle
And if you're wondering by now who I am
Look no further than the mirror
Cause I am the greed and fear
And every ounce of hate in you"
Carry Us All,2006,http://www.metrolyrics.com/carry-us-all-lyrics-oasis.html,0,"I heard a whisper on my radio
But I paid no mind
I just sat back and I let it go
To catch the rain from a lonely waterfall
But I might beware
'Cos they could drown me like a doll
They got me running in and out of time
I feel like a Bona Fide
Keeper of the right and wrong
And I've known all along, so let me just make it clear
Everybody's gone for quick, sure fire solution
But faith in any god will only bury us all
No-one's gonna fight in a ten-bob revolution
Have faith in what you've got and it will carry us all
Carry us all
I slip my skin as the prophets reappear
But I pay no mind
I'm just trying to persevere
With the sins I have to shake from me within
Though I might beware
'Cos they're just trying to wear me thin
They got me running in and out of time
I feel like a Bona Fide
Keeper of the right and wrong
And I've known all along, but let me just make it clear
Everybody's gone for quick, sure fire solution
But faith in any god is gonna bury us all
No-one's gonna fight in a ten-bob revolution
Have faith in what we've got is gonna carry us all
Carry us all
Everybody's gone for quick, sure fire solution
But faith in any god is gonna bury us all
No-one's gonna fight in a ten-bob revolution
Have faith in what you've got and it will carry us all
Carry us all
Carry us all"
Cast No Shadow,1995,http://www.metrolyrics.com/cast-no-shadow-lyrics-oasis.html,2,"Here's a thought for every man who tries to understand
What is in his hands (What is in his hands)
He walks along the open road of love and life
Survivin' if he can (Survivin' if he can)
Bound with all the weight of all the words he tried to say
Chained to all the places that he never wished to stay
Bound with all the weight of all the words he tried to say
As he face the sun he cast no shadow
As they took his soul they stole his pride
As they took his soul they stole his pride
As they took his soul they stole his pride
As he face the sun he cast no shadow
Here's a thought for every man who tries to understand
What is in his hands (What is in his hands)
He walks along the open road of love and life
Survivin' if he can (Survivin' if he can)
Bound with all the weight of all the words he tried to say
Chained to all the places that he never wished to stay
Bound with all the weight of all the words he tried to say
As he face the sun he cast no shadow
As they took his soul they stole his pride
As they took his soul they stole his pride
As they took his soul they stole his pride
As they took his soul they stole his pride
As he face the sun he cast no shadow
As he face the sun he cast no shadow
As he face the sun he cast no shadow
As he face the sun he cast no shadow"
Champagne Supernova,1995,http://www.metrolyrics.com/champagne-supernova-lyrics-oasis.html,6,"How many special people change?
How many lives are living strange?
Where were you while we were getting high?
Slowly walking down the hall
Faster than a cannon ball
Where were you while we were getting high?
Someday you will find me
Caught beneath the landslide
In a Champagne Supernova in the sky
Someday you will find me
Caught beneath the landslide
In a Champagne Supernova
A Champagne Supernova in the sky
Wake up the dawn and ask her why?
A dreamer dreams she never dies
Wipe that tear away now from your eye
Slowly walking down the hall
Faster than a cannon ball
Where were you while we were getting high?
Someday you will find me
Caught beneath the landslide
In a Champagne Supernova in the sky
Someday you will find me
Caught beneath the landslide
In a Champagne Supernova
A Champagne Supernova
'Cos people believe that they're
Gonna get away for the summer
But you and I, we live and die
The world's still spinning round
We don't know why?
Why? Why? Why? Why?
How many special people change?
How many lives are living strange?
Where were you while we were getting high?
Slowly walking down the hall
Faster than a cannon ball
Where were you while we were getting high?
Someday you will find me
Caught beneath the landslide
In a Champagne Supernova in the sky
Someday you will find me
Caught beneath the landslide
In a Champagne Supernova
A Champagne Supernova
'Cos people believe that they're
Gonna get away for the summer
But you and I, we live and die
The world's still spinning round
We don't know why?
Why? Why? Why? Why?
How many special people change?
How many lives are living strange?
Where were you while we were getting high?
We were getting high
We were getting high
We were getting high
We were getting high
We were getting high
We were getting high
We were getting high..."
Chipper Sob,2006,http://www.metrolyrics.com/chipper-sob-lyrics-oasis.html,0,"I'm a chipper son of a bitch
I'm a chipper son of a bitch
I'm a chipper son of a bitch
I'm a chipper son of a bitch
And I never get an itch
When I'm a chipper son of a bitch
I'm a chipper son of a bitch"
Cigarettes & Alcohol,2006,http://www.metrolyrics.com/cigarettes-alcohol-lyrics-oasis.html,4,"Is it my imagination
Or have I finally found something worth living for?
I was looking for some action
But all I found was cigarettes and alcohol
You could wait for a lifetime
To spend your days in the sunshine
You might as well do the white line
'Cos when it comes on top
You gotta make it happen
You gotta make it happen
You gotta make it happen
You gotta make it happen
Is it worth the aggravation
To find yourself a job when there's nothing worth working for?
It's a crazy situation
But all I need are cigarettes and alcohol
You could wait for a lifetime
To spend your days in the sunshine
You might as well do the white line
Cos when it comes on top
You gotta make it happen
You gotta make it happen
You gotta make it happen
You gotta make it happen
You gotta, you gotta, you gotta make it
You gotta, you gotta, you gotta make it
You gotta, you gotta, you gotta make it
You gotta, you gotta, you gotta make it"
Cigarettes in Hell,2006,http://www.metrolyrics.com/cigarettes-in-hell-lyrics-oasis.html,0,
