title,year,url,popularity
How Does It Feel,2007,http://www.metrolyrics.com/how-does-it-feel-lyrics-oasis.html,2
Hung in a Bad Place,2006,http://www.metrolyrics.com/hung-in-a-bad-place-lyrics-oasis.html,0
I Am The Walrus,2006,http://www.metrolyrics.com/i-am-the-walrus-lyrics-oasis.html,0
I Believe In All,2008,http://www.metrolyrics.com/i-believe-in-all-lyrics-oasis.html,0
I Can See A Liar,2006,http://www.metrolyrics.com/i-can-see-a-liar-lyrics-oasis.html,0
"I Hope, I Think, I Know",2006,http://www.metrolyrics.com/i-hope-i-think-i-know-lyrics-oasis.html,2
"I Hope, I Think, I Know (Remastered)",2018,http://www.metrolyrics.com/i-hope-i-think-i-know-remastered-lyrics-oasis.html,0
I Wanna Live A Dream,2008,http://www.metrolyrics.com/i-wanna-live-a-dream-lyrics-oasis.html,2
"I Wanna Live In A Dream, In My Record Machine",2008,http://www.metrolyrics.com/i-wanna-live-in-a-dream-in-my-record-machine-lyrics-oasis.html,1
I Will Believe,2006,http://www.metrolyrics.com/i-will-believe-lyrics-oasis.html,0
I Will Show You,2006,http://www.metrolyrics.com/i-will-show-you-lyrics-oasis.html,0
I'm Only Sleeping,2007,http://www.metrolyrics.com/im-only-sleeping-lyrics-oasis.html,0
I'm Outta Time,2008,http://www.metrolyrics.com/im-outta-time-lyrics-oasis.html,4
Idler's Dream,2007,http://www.metrolyrics.com/idlers-dream-lyrics-oasis.html,4
It Must Have Been Love,2006,http://www.metrolyrics.com/it-must-have-been-love-lyrics-oasis.html,0
It's a Crime,2006,http://www.metrolyrics.com/its-a-crime-lyrics-oasis.html,1
It's Better People,2006,http://www.metrolyrics.com/its-better-people-lyrics-oasis.html,0
It's Gettin' Better (Man!!),2006,http://www.metrolyrics.com/its-gettin-better-man-lyrics-oasis.html,0
It's Getting Better,2006,http://www.metrolyrics.com/its-getting-better-lyrics-oasis.html,0
"It's Getting Better, Man",2006,http://www.metrolyrics.com/its-getting-better-man-lyrics-oasis.html,0
"It's Good, To Be Free",2006,http://www.metrolyrics.com/its-good-to-be-free-lyrics-oasis.html,2
Just Getting Older,2006,http://www.metrolyrics.com/just-getting-older-lyrics-oasis.html,0
Keep The Dream Alive,2005,http://www.metrolyrics.com/keep-the-dream-alive-lyrics-oasis.html,1
Let Forever Be,2006,http://www.metrolyrics.com/let-forever-be-lyrics-oasis.html,0
Let There Be Love,2005,http://www.metrolyrics.com/let-there-be-love-lyrics-oasis.html,4
Let's All Make Believe,2006,http://www.metrolyrics.com/lets-all-make-believe-lyrics-oasis.html,2
Life in Vain,2006,http://www.metrolyrics.com/life-in-vain-lyrics-oasis.html,0
Listen Up,2006,http://www.metrolyrics.com/listen-up-lyrics-oasis.html,3
Little By Little,2007,http://www.metrolyrics.com/little-by-little-lyrics-oasis.html,5
Little James,2006,http://www.metrolyrics.com/little-james-lyrics-oasis.html,0
Live Forever,2006,http://www.metrolyrics.com/live-forever-lyrics-oasis.html,6
Lord Don't Slow Me Down,2007,http://www.metrolyrics.com/lord-dont-slow-me-down-lyrics-oasis.html,0
Love Like A Bomb,2005,http://www.metrolyrics.com/love-like-a-bomb-lyrics-oasis.html,2
Lyla,2005,http://www.metrolyrics.com/lyla-lyrics-oasis.html,2
Magic Pie,2006,http://www.metrolyrics.com/magic-pie-lyrics-oasis.html,1
Manuk Dadali,2006,http://www.metrolyrics.com/manuk-dadali-lyrics-oasis.html,2
Married With Children,2006,http://www.metrolyrics.com/married-with-children-lyrics-oasis.html,3
Merry Xmas Everyone,2007,http://www.metrolyrics.com/merry-xmas-everyone-lyrics-oasis.html,0
Morning Glory,1995,http://www.metrolyrics.com/morning-glory-lyrics-oasis.html,3
Mrs. Robinson,2007,http://www.metrolyrics.com/mrs-robinson-lyrics-oasis.html,0
Mucky Fingers,2005,http://www.metrolyrics.com/mucky-fingers-lyrics-oasis.html,0
Must Be The Music,2006,http://www.metrolyrics.com/must-be-the-music-lyrics-oasis.html,0
My Big Mouth,2006,http://www.metrolyrics.com/my-big-mouth-lyrics-oasis.html,1
My Generation,2006,http://www.metrolyrics.com/my-generation-lyrics-oasis.html,0
My Sister Lover,2006,http://www.metrolyrics.com/my-sister-lover-lyrics-oasis.html,0
Nothin' On Me,2008,http://www.metrolyrics.com/nothin-on-me-lyrics-oasis.html,0
One Way Road,2006,http://www.metrolyrics.com/one-way-road-lyrics-oasis.html,0
Part Of The Queue,2005,http://www.metrolyrics.com/part-of-the-queue-lyrics-oasis.html,2
Pass Me Down The Wine,2007,http://www.metrolyrics.com/pass-me-down-the-wine-lyrics-oasis.html,0
Put Yer Money Where Yer Mouth Is,2006,http://www.metrolyrics.com/put-yer-money-where-yer-mouth-is-lyrics-oasis.html,0
Put Yer Money Where Your Mouth Is,2006,http://www.metrolyrics.com/put-yer-money-where-your-mouth-is-lyrics-oasis.html,0
Rock 'n' Roll Star,2006,http://www.metrolyrics.com/rock-n-roll-star-lyrics-oasis.html,4
Rockin' Chair,2006,http://www.metrolyrics.com/rockin-chair-lyrics-oasis.html,4
Roll It Over,2006,http://www.metrolyrics.com/roll-it-over-lyrics-oasis.html,0
Roll With It,1995,http://www.metrolyrics.com/roll-with-it-lyrics-oasis.html,3
Round Are Way,2006,http://www.metrolyrics.com/round-are-way-lyrics-oasis.html,3
Sad Song,2006,http://www.metrolyrics.com/sad-song-lyrics-oasis.html,0
Scorpio Rising,2007,http://www.metrolyrics.com/scorpio-rising-lyrics-oasis.html,2
See The Sun,2006,http://www.metrolyrics.com/see-the-sun-lyrics-oasis.html,3
Setting Sun,2006,http://www.metrolyrics.com/setting-sun-lyrics-oasis.html,3
Shakermaker,2006,http://www.metrolyrics.com/shakermaker-lyrics-oasis.html,3
She is Electric,2006,http://www.metrolyrics.com/she-is-electric-lyrics-oasis.html,0
She is Love,2006,http://www.metrolyrics.com/she-is-love-lyrics-oasis.html,4
She's Electric,1995,http://www.metrolyrics.com/shes-electric-lyrics-oasis.html,5
Shout It Out Loud,2007,http://www.metrolyrics.com/shout-it-out-loud-lyrics-oasis.html,3
Sittin' Here In Silence (On My Own),2007,http://www.metrolyrics.com/sittin-here-in-silence-on-my-own-lyrics-oasis.html,3
Slide Away,2006,http://www.metrolyrics.com/slide-away-lyrics-oasis.html,4
Soldier On,2008,http://www.metrolyrics.com/soldier-on-lyrics-oasis.html,0
Solve My Mystery,2006,http://www.metrolyrics.com/solve-my-mystery-lyrics-oasis.html,1
Some Might Say,1995,http://www.metrolyrics.com/some-might-say-lyrics-oasis.html,5
Song Bird,2006,http://www.metrolyrics.com/song-bird-lyrics-oasis.html,0
Stand By Me,2006,http://www.metrolyrics.com/stand-by-me-lyrics-oasis.html,7
Stay Young,2006,http://www.metrolyrics.com/stay-young-lyrics-oasis.html,3
Step Out,2006,http://www.metrolyrics.com/step-out-lyrics-oasis.html,0
Stop Crying Your Heart Out,2006,http://www.metrolyrics.com/stop-crying-your-heart-out-lyrics-oasis.html,6
Stop Crying Your Hearth Out,2010,http://www.metrolyrics.com/stop-crying-your-hearth-out-lyrics-oasis.html,1
Stop The Clocks,2008,http://www.metrolyrics.com/stop-the-clocks-lyrics-oasis.html,3
Strange Thing,2006,http://www.metrolyrics.com/strange-thing-lyrics-oasis.html,0
Street Fighting,2006,http://www.metrolyrics.com/street-fighting-lyrics-oasis.html,0
Street Fighting Man,2006,http://www.metrolyrics.com/street-fighting-man-lyrics-oasis.html,0
Sunday Morning Call,2006,http://www.metrolyrics.com/sunday-morning-call-lyrics-oasis.html,3
Supersonic,2006,http://www.metrolyrics.com/supersonic-lyrics-oasis.html,6
Take Me,2006,http://www.metrolyrics.com/take-me-lyrics-oasis.html,5
Take Me Away,2006,http://www.metrolyrics.com/take-me-away-lyrics-oasis.html,3
Talk Tonight,2006,http://www.metrolyrics.com/talk-tonight-lyrics-oasis.html,5
