Rank,Title,Series,Number in series,Author,Rating,Number of ratings,Score,Votes
69,Diplomatic Immunity,Vorkosigan Saga,13,Lois McMaster Bujold,4.18,12106,1914,26 people voted
70,His Majesty's Dragon,Temeraire,1,Naomi Novik,4.06,67058,1849,22 people voted
71,The Speed of Dark,,,Elizabeth Moon,really liked it 4.00,9436,1819,24 people voted
72,Darkover Landfall,,,Marion Zimmer Bradley,3.88,5953,1748,21 people voted
73,Machinations,Machinations,1,Hayley Stone,3.79,248,1698,17 people voted
74,Vertigo,Aurora Rhapsody,2,G.S. Jennsen,4.22,1042,1684,18 people voted
75,CryoBurn,Vorkosigan Saga,14,Lois McMaster Bujold,4.06,11937,1683,24 people voted
76,Seed to Harvest,Patternmaster,,Octavia E. Butler,4.33,3944,1659,20 people voted
77,The Wind's Twelve Quarters,,,Ursula K. Le Guin,4.04,4041,1572,19 people voted
78,Remnant Population,,,Elizabeth Moon,4.06,3627,1547,20 people voted
79,The Word for World is Forest,,,Ursula K. Le Guin,3.95,12898,1510,20 people voted
80,Grimspace,Sirantha Jax,1,Ann Aguirre,3.73,12658,1497,17 people voted
81,Ammonite,,,Nicola Griffith,3.86,3713,1477,20 people voted
82,Across the Universe,Across the Universe,1,Beth Revis,3.77,107407,1435,16 people voted
83,Inheritor,Foreigner,3,C.J. Cherryh,4.19,3610,1392,18 people voted
84,The V Girl,,,Mya Robarts,4.02,7833,1380,15 people voted
85,Delirium,Delirium,1,Lauren Oliver,3.98,392234,1366,15 people voted
86,Dreamsnake,,,Vonda N. McIntyre,3.86,8402,1324,18 people voted
87,Women of Wonder: Science-Fiction Stories by Women about Women,,,Pamela Sargent,really liked it 4.00,272,1297,16 people voted
88,All Systems Red,The Murderbot Diaries,1,Martha Wells,4.15,35012,1296,14 people voted
89,Trading in Danger,Vatta's War,1,Elizabeth Moon,3.98,11161,1286,16 people voted
90,Invader,Foreigner,2,C.J. Cherryh,4.17,4058,1276,17 people voted
90,Woman on the Edge of Time,,,Marge Piercy,3.95,12597,1276,15 people voted
92,China Mountain Zhang,,,Maureen F. McHugh,3.94,3453,1253,18 people voted
93,Stardoc,Stardoc,1,S.L. Viehl,3.80,3632,1230,16 people voted
94,MaddAddam,MaddAddam,3,Margaret Atwood,really liked it 4.00,52186,1212,13 people voted
95,Valor's Choice,Confederation,1,Tanya Huff,3.98,6895,1165,16 people voted
96,Bellwether,,,Connie Willis,3.93,10067,1142,13 people voted
97,This Alien Shore,,,C.S. Friedman,4.04,3260,1130,15 people voted
98,Primary Inversion,Saga of the Skolian Empire,1,Catherine Asaro,3.74,3686,1119,15 people voted
99,Scarlet,The Lunar Chronicles,2,Marissa Meyer,4.29,265215,1115,12 people voted
100,Probability Moon,Probability,1,Nancy Kress,3.61,1291,1107,15 people voted
